epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,63.1872,1.19353,2.28181,1.57058,0.74694,0.8725,0.87715,0.63815,1.08419,0.80777,1.55038,0.00995349,0.00331783,0.00995349,0.00331783,0.00995349,0.00331783,0.00995349,0.00331783
2,116.907,1.01399,1.04684,1.36088,0.82999,0.89227,0.9201,0.66444,1.09831,0.72451,1.54857,0.0198745,0.00662482,0.0198745,0.00662482,0.0198745,0.00662482,0.0198745,0.00662482
3,169.621,1.0268,1.02303,1.36488,0.67172,0.69275,0.80773,0.54895,1.21525,1.04411,1.68461,0.0297163,0.00990542,0.0297163,0.00990542,0.0297163,0.00990542,0.0297163,0.00990542
4,220.205,1.06473,1.0532,1.38538,0.75595,0.87947,0.89021,0.60005,1.16668,0.81556,1.65894,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,271.343,1.02285,0.98808,1.36327,0.86407,0.91542,0.92855,0.67067,1.0766,0.67728,1.53647,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,322.017,1.00445,0.94125,1.34999,0.82114,0.90569,0.93284,0.69184,1.04522,0.61487,1.48643,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,372.555,0.97554,0.89278,1.32419,0.88837,0.91924,0.9498,0.7144,0.99804,0.55772,1.44158,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,424.14,0.96214,0.84498,1.31204,0.91932,0.91842,0.95711,0.72255,1.0115,0.52397,1.44385,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,473.897,0.94813,0.81998,1.30432,0.93942,0.92645,0.97039,0.7301,1.00968,0.5074,1.44368,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,524.451,0.93771,0.7966,1.29648,0.91169,0.93567,0.95262,0.71894,1.00256,0.50619,1.42902,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
