epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.084,1.24387,2.18515,1.82389,0.91365,0.94512,0.96939,0.6814,1.09725,1.94478,2.06923,0.000410714,0.000410714,0.000410714
2,36.5358,1.04816,1.53621,1.62023,0.81161,0.93049,0.96,0.82403,0.6041,1.35599,1.24659,0.00081919,0.00081919,0.00081919
3,53.1332,1.03905,1.44046,1.60407,0.97794,0.96859,0.9793,0.83632,0.6806,1.05206,1.45251,0.00121942,0.00121942,0.00121942
4,69.3734,0.97888,1.33385,1.556,0.91894,0.90773,0.9587,0.84851,0.57164,0.75284,1.14502,0.00121287,0.00121287,0.00121287
5,85.649,0.92802,1.25491,1.50727,0.96743,0.97681,0.989,0.90357,0.45376,0.56453,1.00079,0.0012005,0.0012005,0.0012005
6,101.774,0.87923,1.18744,1.46475,0.98334,0.97387,0.99249,0.88819,0.54324,0.41279,1.06012,0.00118812,0.00118812,0.00118812
7,117.839,0.86268,1.12115,1.46112,0.97935,0.98022,0.99089,0.89321,0.50342,0.52346,1.02236,0.00117575,0.00117575,0.00117575
8,134.01,0.84097,1.07961,1.43142,0.99098,0.9799,0.9943,0.90103,0.47187,0.38086,1.03147,0.00116337,0.00116337,0.00116337
9,150.063,0.83326,1.06547,1.41837,0.95406,0.99082,0.97918,0.88074,0.47938,0.40151,1.0001,0.001151,0.001151,0.001151
10,166.075,0.80596,1.01102,1.40173,0.99006,0.97758,0.98965,0.90145,0.43634,0.32282,0.95821,0.00113863,0.00113863,0.00113863
11,182.145,0.76929,0.98401,1.36796,0.99598,0.99643,0.995,0.90875,0.43696,0.31064,0.93417,0.00112625,0.00112625,0.00112625
12,198.275,0.77325,0.97324,1.37354,0.9892,0.99049,0.995,0.90355,0.46882,0.32451,0.99655,0.00111388,0.00111388,0.00111388
13,214.405,0.76765,0.98627,1.37143,0.98874,0.98372,0.98197,0.90856,0.43844,0.32869,0.93437,0.0011015,0.0011015,0.0011015
14,230.519,0.75509,0.9698,1.35603,0.98565,0.98496,0.99321,0.88234,0.56694,0.33077,1.07106,0.00108913,0.00108913,0.00108913
15,246.613,0.73512,0.95015,1.34493,0.98073,0.99074,0.99293,0.9108,0.45542,0.30572,0.96418,0.00107675,0.00107675,0.00107675
16,262.943,0.71774,0.91414,1.32796,0.98631,0.98771,0.98993,0.89372,0.52803,0.32875,1.03776,0.00106437,0.00106437,0.00106437
17,279.142,0.70938,0.92238,1.31826,0.99593,0.99864,0.995,0.9284,0.4049,0.29261,0.92753,0.001052,0.001052,0.001052
18,295.585,0.71577,0.9126,1.32543,0.9878,0.98681,0.99135,0.9391,0.35929,0.27492,0.86578,0.00103962,0.00103962,0.00103962
19,311.897,0.70368,0.87921,1.31596,0.98655,0.99377,0.99491,0.88105,0.55398,0.31365,1.05471,0.00102725,0.00102725,0.00102725
20,328.022,0.69597,0.88154,1.30501,0.99805,0.99732,0.995,0.89436,0.48285,0.29876,1.00283,0.00101488,0.00101488,0.00101488
21,344.298,0.68277,0.87477,1.29501,0.9845,0.99537,0.9945,0.91294,0.44632,0.26683,0.97088,0.0010025,0.0010025,0.0010025
22,360.504,0.68069,0.87331,1.30063,0.98421,0.99557,0.99486,0.92974,0.45108,0.29407,0.95691,0.000990125,0.000990125,0.000990125
23,376.772,0.68009,0.85469,1.29687,0.98689,0.99824,0.995,0.9098,0.47882,0.27154,0.97119,0.00097775,0.00097775,0.00097775
24,392.945,0.68336,0.83882,1.30178,0.99223,0.99342,0.995,0.91762,0.44909,0.25162,0.93196,0.000965375,0.000965375,0.000965375
25,409.019,0.66823,0.83535,1.28609,0.99118,0.98529,0.99445,0.93965,0.37804,0.25764,0.86925,0.000953,0.000953,0.000953
26,426.155,0.65044,0.8355,1.27138,0.98931,0.99342,0.9935,0.901,0.49242,0.26585,0.98443,0.000940625,0.000940625,0.000940625
27,443.948,0.66474,0.82505,1.28008,0.98267,0.98655,0.98903,0.90327,0.46515,0.3074,0.96164,0.00092825,0.00092825,0.00092825
28,461.718,0.63651,0.80286,1.26302,0.99645,0.999,0.995,0.9118,0.44378,0.23611,0.96103,0.000915875,0.000915875,0.000915875
29,479.497,0.634,0.80105,1.25845,0.98074,0.99716,0.99461,0.88464,0.57318,0.27853,1.06496,0.0009035,0.0009035,0.0009035
30,497.219,0.62374,0.7935,1.2484,0.98895,0.99086,0.99478,0.92528,0.42255,0.25994,0.92035,0.000891125,0.000891125,0.000891125
31,514.986,0.64424,0.80937,1.26272,0.98856,0.98723,0.99351,0.90021,0.49733,0.29809,0.97469,0.00087875,0.00087875,0.00087875
32,532.864,0.64012,0.78555,1.25931,0.99823,0.9991,0.995,0.9057,0.48546,0.251,1.00851,0.000866375,0.000866375,0.000866375
33,550.841,0.63,0.79146,1.24755,0.99342,0.99847,0.995,0.91273,0.44719,0.23631,0.94532,0.000854,0.000854,0.000854
34,568.112,0.61694,0.77377,1.24046,0.9933,0.99593,0.99495,0.92012,0.42009,0.22764,0.92409,0.000841625,0.000841625,0.000841625
35,585.216,0.60347,0.77928,1.23699,0.98809,0.99212,0.99473,0.93987,0.35087,0.22271,0.85216,0.00082925,0.00082925,0.00082925
36,602.151,0.61746,0.75685,1.23822,0.99266,0.98058,0.99468,0.90242,0.47861,0.24984,0.98011,0.000816875,0.000816875,0.000816875
37,619.026,0.61298,0.78446,1.23992,0.9898,0.98554,0.99483,0.91637,0.4387,0.2367,0.93643,0.0008045,0.0008045,0.0008045
